scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_10,train,single_llm,0.4,0.2857142857142857,0.3333333333333333,0.42361856532012787,0,1416,8.472957799996948
resolvable,RealScholarQuery_10,train,scholarloop_a_v2_no_rerank,0.4,0.2857142857142857,0.3333333333333333,0.4132362771460171,0,0,0.0
resolvable,RealScholarQuery_10,train,scholarloop_a_v2,0.3,0.2857142857142857,0.2926829268292683,0.414206327517869,0,0,13.15224580001086
resolvable,RealScholarQuery_11,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_11,train,bm25,0.1,0.1,0.10000000000000002,0.12305477858805697,0,0,0.0
resolvable,RealScholarQuery_11,train,neural_embedding_v2,0.2,0.15,0.17142857142857143,0.24857006935890028,0,0,0.0
resolvable,RealScholarQuery_11,train,single_llm,0.4,0.2,0.26666666666666666,0.3638506620318613,0,1000,3.664194500001031
resolvable,RealScholarQuery_11,train,scholarloop_a_v2_no_rerank,0.5,0.4,0.4444444444444445,0.5112769039394185,0,0,0.0
resolvable,RealScholarQuery_11,train,scholarloop_a_v2,0.4,0.25,0.3076923076923077,0.35992662398086656,0,0,9.745912600003066
resolvable,RealScholarQuery_12,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_12,train,bm25,0.2,0.11764705882352941,0.14814814814814817,0.13975405291745482,0,0,0.0
resolvable,RealScholarQuery_12,train,neural_embedding_v2,0.1,0.17647058823529413,0.12765957446808512,0.12971483062328115,0,0,0.0
resolvable,RealScholarQuery_12,train,single_llm,0.4,0.23529411764705882,0.29629629629629634,0.2553207268234207,0,1628,9.41228640000918
resolvable,RealScholarQuery_12,train,scholarloop_a_v2_no_rerank,0.4,0.29411764705882354,0.33898305084745767,0.31464399012519684,0,0,0.0
resolvable,RealScholarQuery_12,train,scholarloop_a_v2,0.4,0.29411764705882354,0.33898305084745767,0.41164011668245437,0,0,13.333995199995115
resolvable,RealScholarQuery_13,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_13,test,bm25,0.3,0.3,0.3,0.36211082347570717,0,0,0.0
resolvable,RealScholarQuery_13,test,neural_embedding_v2,0.2,0.3,0.24,0.3896148421761624,0,0,0.0
resolvable,RealScholarQuery_13,test,single_llm,0.3,0.3,0.3,0.4537425745411855,0,1343,6.488865300008911
resolvable,RealScholarQuery_13,test,scholarloop_a_v2_no_rerank,0.3,0.3,0.3,0.424926013816671,0,0,0.0
